,shootmass,leafnum,nodulenum,meannodulemass,totalnodulemass,chloro,harvester,harvestdate,plant_age,strain,nitrogen,field,plot,plantspori,plantpopori,plantsprear,plantpoprear,type,dataset_year
1,0.29,11,194,0.0515000,0.0100000,45.6,NA,1/22/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
2,0.09,9,83,0.0651000,0.0054000,34.6,CPT,1/14/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. hybridum,Russia,treat,2008
3,0.20,9,0,NA,NA,43.3,CPT,1/14/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
4,0.09,6,58,0.0914000,0.0053000,41,CPT,1/14/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
5,0.15,14,64,0.2375000,0.0152000,45.8,CPT,1/14/08,90,173,Control,2,2A,T. repens,Chile,T. repens,Idaho,treat,2008
6,0.06,7,1,NA,NA,36.3,CPT,1/14/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
7,0.35,23,123,0.0740000,0.0091000,50.7,MH,1/14/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. repens,Chile,treat,2008
8,0.12,12,37,0.1918920,0.0071000,32.9,ES,1/18/08,90,110,Control,4,4A,T. repens,Idaho,T. hybridum,Russia,treat,2008
9,0.24,6,77,0.3298700,0.0254000,40.7,MH,1/14/08,90,758,Control,1,1A,T. repens,Idaho,T. pratense,Greece,treat,2008
10,0.22,20,80,0.4250000,0.0340000,41.1,JL,1/14/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. repens,Idaho,treat,2008
11,0.11,8,2,0.0250000,0.0000500,45.9,JL,1/14/08,90,344,Control,6,6A,T. pratense,Greece,T. hybridum,Russia,treat,2008
12,0.04,6,27,0.1333330,0.0036000,41.7,TB,1/14/08,90,901,Control,2,2A,T. repens,Idaho,T. hybridum,Russia,treat,2008
13,0.10,12,34,0.2558820,0.0087000,39.5,TB,1/14/08,90,726,Control,6,6A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
14,0.07,8,47,0.2106380,0.0099000,39,ES,1/14/08,90,61,Nitrogen,5,5B,T. pratense,Germany,T. hybridum,Colorado,treat,2008
15,0.32,18,49,0.2122450,0.0104000,45.4,TB,1/14/08,90,726,Control,6,6A,T. hybridum,Russia,T. hybridum,Colorado,treat,2008
16,0.12,16,0,NA,NA,29.2,JL,1/14/08,90,145,Control,3,3A,T. pratense,Greece,T. hybridum,Russia,treat,2008
17,0.08,11,28,0.2571430,0.0072000,43.6,JL,1/14/08,90,493,Control,5,5A,T. pratense,Greece,T. repens,Chile,treat,2008
18,0.18,6,73,0.4164380,0.0304000,42.5,JL,1/14/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
