plant,strain,dataset_year,field,plot,nitrogen,plantsp,harvester,chloro,nodnum,meannodweight,shootmass,fert
8,729,2018,1,1C,Control,T. hybridum,JL,NA,13,0.0522,0.0031,0 N
11,3,2018,6,6C,Control,T. repens,MH,41.6,7,2.2606,0.0664,0 N
12,3,2018,6,6C,Control,T. repens,CA,11.3,0,0,0.0022,0 N
14,493,2018,5,5C,Control,T. pratense,JL,38.6,16,1.8409,0.0754,0 N
15,901,2018,2,2C,Control,T. repens,JL,44.9,35,0.3957,0.1533,0 N
17,493,2018,5,5C,Control,T. pratense,SJ,43.7,25,1.0435,0.1533,0 N
28,100,2018,5,5C,Control,T. hybridum,JL,41.4,18,0.4782,0.1139,0 N
35,415,2018,3,3C,Control,T. repens,JL,38.7,53,0.0485,0.0738,0 N
56,559,2018,4,4C,Control,T. pratense,TG,30.1,37,0.1197,0.0187,0 N
62,499,2018,3,3C,Control,T. pratense,TG,34.2,2,1.467,0.0365,0 N
63,758,2018,1,1C,Control,T. repens,JL,37.6,13,0.1086,0.0333,0 N
72,493,2018,5,5C,Control,T. pratense,SJ,42.8,6,0.4937,0.0583,0 N
76,861,2018,5,5C,Control,T. repens,SJ,43.3,8,0.256,0.0733,0 N
80,228,2018,1,1C,Control,T. pratense,MH,43.4,470,0.0565,0.2771,0 N
83,901,2018,2,2C,Control,T. repens,MH,38.4,9,0.6577,0.1096,0 N
92,325,2018,4,4C,Control,T. repens,MH,20,20,0.3143,0.0262,0 N
100,758,2018,1,1C,Control,T. repens,SJ,24.8,23,0.5547,0.0368,0 N
101,758,2018,1,1C,Control,T. repens,CA,39.7,31,0.167,0.0355,0 N
118,837,2018,3,3C,Control,T. hybridum,SJ,31.6,10,0.1535,0.0188,0 N
120,438,2018,4,4C,Control,T. hybridum,SJ,28,25,0.2569,0.024,0 N
131,726,2018,6,6C,Control,T. hybridum,SC,46.9,0,0,0.0495,0 N
139,706,2018,4,4C,Control,T. hybridum,CA,38.4,32,0.9957,0.2194,0 N
149,108,2018,3,3C,Control,T. hybridum,SC,42.5,29,0.2303,0.0902,0 N
155,461,2018,2,2C,Control,T. hybridum,SC,NA,4,0.5595,0.0033,0 N
157,461,2018,2,2C,Control,T. hybridum,JL,46.3,11,0.6665,0.0337,0 N
177,461,2018,2,2C,Control,T. hybridum,SJ,25.7,11,0.8507,0.0218,0 N
186,636,2018,1,1C,Control,T. repens,JL,17.4,23,0.0841,0.0127,0 N
190,499,2018,3,3C,Control,T. pratense,JL,41.1,13,1.9941,0.1068,0 N
193,636,2018,1,1C,Control,T. repens,JL,47.1,30,0.6344,0.1482,0 N
204,462,2018,5,5C,Control,T. hybridum,JL,39.8,36,1.1302,0.1595,0 N
214,160,2018,5,5C,Control,T. pratense,SJ,38.6,18,0.4253,0.1328,0 N
231,729,2018,1,1C,Control,T. hybridum,SJ,33.4,5,0.1558,0.0144,0 N
233,461,2018,2,2C,Control,T. hybridum,MH,35.1,10,0.1088,0.1525,0 N
235,636,2018,1,1C,Control,T. repens,MH,46.9,2,0.038,0.1057,0 N
237,460,2018,3,3C,Control,T. repens,SJ,41.5,34,0.1697,0.1498,0 N
240,837,2018,3,3C,Control,T. hybridum,SJ,34.4,10,0.3763,0.0478,0 N
244,627,2018,6,6C,Control,T. repens,MH,37,13,1.1182,0.0728,0 N
245,180,2018,5,5C,Control,T. repens,MH,45.4,180,0.0457,0.2266,0 N
250,706,2018,4,4C,Control,T. hybridum,CA,29.4,0,0,0.0045,0 N
252,726,2018,6,6C,Control,T. hybridum,SJ,38.7,3,1.0427,0.0603,0 N
