"","plantid","shootmass","leafnum","stolonnum","nodulenum","MassofNodules","NodulesinTube","meannodulemass","totalnodulemass","Chlor","Harvester","Harvestdate","Harvestday","strain","nitrogen","field","plot","plantspori","plantpopori","plantsprear","plantpoprear","type"
"1",1,0.29,11,1,194,0.01,194,5.15e-05,0.01,45.6,NA,"22-Jan",9,"762","Nitrogen","5","5B","T. pratense","Greece","T. hybridum","Colorado","treat"
"2",4,0.09,9,1,83,0.0054,83,6.51e-05,0.0054,34.6,"CPT","14-Jan",1,"859","Nitrogen","4","4B","T. repens","Chile","T. hybridum","Russia","treat"
"3",5,0.2,9,1,0,NA,NA,NA,NA,43.3,"CPT","14-Jan",1,"56","Nitrogen","5","5B","T. repens","Idaho","T. hybridum","Colorado","treat"
"4",7,0.09,6,1,58,0.0053,58,9.14e-05,0.0053,41,"CPT","14-Jan",1,"328","Nitrogen","2","2B","T. pratense","Greece","T. hybridum","Colorado","treat"
"5",9,0.15,14,1,64,0.0152,64,0.0002375,0.0152,45.8,"CPT","14-Jan",1,"173","Control","2","2A","T. repens","Chile","T. repens","Idaho","treat"
"6",13,0.06,7,1,1,NA,1,NA,NA,36.3,"CPT","14-Jan",1,"559","Control","4","4A","T. pratense","Pennsylvania","T. hybridum","Colorado","treat"
"7",14,0.35,23,4,123,0.0091,123,7.4e-05,0.0091,50.7,"MH","14-Jan",1,"156","Nitrogen","2","2B","T. hybridum","Colorado","T. repens","Chile","treat"
"8",16,0.12,12,1,37,0.0071,37,0.000191892,0.0071,32.9,"ES","18-Jan",5,"110","Control","4","4A","T. repens","Idaho","T. hybridum","Russia","treat"
"9",17,0.24,6,1,77,0.0254,77,0.00032987,0.0254,40.7,"MH","14-Jan",1,"758","Control","1","1A","T. repens","Idaho","T. pratense","Greece","treat"
"10",18,0.22,20,3,80,0.034,80,0.000425,0.034,41.1,"JL","14-Jan",1,"262","Nitrogen","2","2B","T. repens","Idaho","T. repens","Idaho","treat"
"11",20,0.11,8,1,2,5e-05,2,2.5e-05,5e-05,45.9,"JL","14-Jan",1,"344","Control","6","6A","T. pratense","Greece","T. hybridum","Russia","treat"
